Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
a478f358-044d-4000-b70e,2023-12-31,12:11:47,Station,Credit Card,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,10:30:00,11:00:00,11:00:00,On Time,,No
d4ea6940-7228-41ef-9eae,2023-12-31,13:33:39,Online,Credit Card,Senior,Standard,Advance,23,London Kings Cross,York,2024-01-01,09:30:00,11:20:00,11:20:00,On Time,,No
89f2160c-666b-4925-86b6,2023-12-31,14:23:09,Station,Contactless,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-01,12:45:00,14:05:00,14:05:00,On Time,,No
fd00a134-7056-441c-919f,2023-12-31,14:53:44,Online,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-01,13:15:00,14:35:00,14:35:00,On Time,,No
842da93c-b820-42dc-ad4f,2023-12-31,15:19:53,Online,Contactless,None,Standard,Advance,86,Manchester Piccadilly,London Paddington,2024-01-01,13:45:00,16:00:00,16:00:00,On Time,,No
74462231-5241-46f4-8328,2023-12-31,15:53:46,Online,Credit Card,Senior,First Class,Advance,34,Oxford,Bristol Temple Meads,2024-01-01,14:15:00,15:30:00,15:54:00,Delayed,Signal Failure,Yes
7267c284-5f19-41ef-8350,2023-12-31,16:44:05,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,15:00:00,16:00:00,16:00:00,On Time,,No
3c375a4c-7ba3-45e9-a9cd,2023-12-31,18:01:58,Online,Contactless,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-01,16:30:00,17:50:00,17:50:00,On Time,,No
5b0638b1-ee1d-4a6f-8c29,2023-12-31,18:39:00,Online,Credit Card,None,First Class,Advance,57,London Kings Cross,York,2024-01-01,17:00:00,18:50:00,18:50:00,On Time,,No
e40c1f61-b648-41c2-8151,2023-12-31,19:33:15,Station,Debit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-01,17:45:00,19:05:00,19:05:00,On Time,,No
aa40e9b5-3ab7-4d40-a949,2023-12-31,19:45:53,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,18:15:00,19:15:00,19:15:00,On Time,,No
be8bee7f-2e6f-450e-90ed,2023-12-31,20:20:25,Station,Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-01,17:45:00,19:35:00,19:35:00,On Time,,No
14792f87-d2ad-47be-8cdb,2023-12-31,20:21:58,Online,Credit Card,None,Standard,Advance,5,Birmingham New Street,Tamworth,2024-01-01,18:45:00,19:05:00,19:05:00,On Time,,No
a3a42b1b-bf7f-43d9-b63c,2024-01-01,01:10:20,Station,Contactless,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-01,23:30:00,00:50:00,00:50:00,On Time,,No
ea7108cf-382b-4794-aa8c,2024-01-01,01:16:20,Online,Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,02:45:00,03:15:00,03:15:00,On Time,,No
d8275e2a-8493-4b30-b6e0,2024-01-01,03:02:34,Station,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-01,04:30:00,05:50:00,05:50:00,On Time,,No
b7cf7da5-b4c2-4e24-897c,2024-01-01,03:03:49,Online,Credit Card,None,Standard,Off-Peak,33,Birmingham New Street,London St Pancras,2024-01-01,04:30:00,05:50:00,05:50:00,On Time,,No
58a7ad60-8670-41a4-87ba,2024-01-01,03:35:48,Online,Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,05:00:00,05:30:00,05:30:00,On Time,,No
69eaff73-ca3a-4831-905b,2024-01-01,03:52:29,Online,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-02,02:15:00,03:35:00,,Cancelled,Technical Issue,No
5f7dd36c-6a06-49bc-9ff6,2024-01-01,04:09:42,Station,Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,05:30:00,06:00:00,06:00:00,On Time,,No
5e9a7d23-03aa-4283-92b7,2024-01-01,04:31:41,Station,Credit Card,Disabled,Standard,Anytime,4,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,06:00:00,06:30:00,06:30:00,On Time,,No
15f1839c-33c7-4528-9e7b,2024-01-01,04:54:54,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-01,06:15:00,08:05:00,08:05:00,On Time,,No
cba78e3f-e1da-4e36-9b9e,2024-01-01,05:05:29,Station,Contactless,None,Standard,Anytime,70,London Kings Cross,York,2024-01-01,06:30:00,08:20:00,08:20:00,On Time,,No
41327548-3375-456d-8c38,2024-01-01,05:07:28,Station,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-01,06:30:00,07:50:00,07:50:00,On Time,,No
767314a0-f839-4607-a3d3,2024-01-01,05:09:30,Station,Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02,03:30:00,05:20:00,05:31:00,Delayed,Weather Conditions,No
a9b958eb-96a2-482c-a58b,2024-01-01,05:14:54,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-01,06:30:00,07:50:00,07:50:00,On Time,,No
4f8cc55f-6a99-4aee-b432,2024-01-01,05:17:46,Station,Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-01,06:45:00,08:35:00,08:35:00,On Time,,No
d1bc1602-126f-4d9c-844b,2024-01-01,06:08:28,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-01,07:30:00,09:20:00,09:20:00,On Time,,No
721b269a-cde8-4732-9660,2024-01-01,06:14:16,Online,Credit Card,None,Standard,Anytime,6,London Paddington,London Waterloo,2024-01-01,07:30:00,09:00:00,09:00:00,On Time,,No
93aa0df7-c7f6-4a4d-b916,2024-01-01,06:18:48,Station,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-01,07:45:00,09:35:00,09:35:00,On Time,,No
382d60f9-9fe0-4920-97e4,2024-01-01,06:34:08,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-01,08:00:00,10:15:00,10:39:00,Delayed,Weather,No
a1bccead-6e5d-40da-8fff,2024-01-01,06:41:14,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-01,08:00:00,09:20:00,09:20:00,On Time,,No
1980a44e-8393-45ad-af0d,2024-01-01,06:48:45,Station,Credit Card,None,Standard,Anytime,7,Manchester Piccadilly,Sheffield,2024-01-01,08:15:00,09:00:00,09:00:00,On Time,,No
c259ac89-af76-4e8b-8983,2024-01-01,07:20:14,Online,Contactless,None,Standard,Anytime,25,London Paddington,Reading,2024-01-01,08:45:00,09:45:00,09:45:00,On Time,,No
c0a64306-e4dc-49e1-9bc8,2024-01-01,07:23:47,Online,Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2024-01-01,07:45:00,08:45:00,08:45:00,On Time,,No
fbc2d08b-da84-4a2a-8ac3,2024-01-01,07:46:41,Station,Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,09:15:00,09:45:00,09:45:00,On Time,,No
7a3cd851-586a-4e7c-9c05,2024-01-01,08:12:21,Online,Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
fcfb1bd4-7f21-4dd8-8cdd,2024-01-01,08:14:05,Online,Credit Card,Disabled,Standard,Advance,21,London St Pancras,Wolverhampton,2024-01-02,06:30:00,08:00:00,08:00:00,On Time,,No
d316a332-a071-4dfe-b17a,2024-01-01,08:26:41,Online,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,07:45:00,08:15:00,08:15:00,On Time,,No
a359c3a5-b9b6-4850-989d,2024-01-01,09:18:59,Station,Credit Card,Senior,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-01,09:45:00,11:05:00,11:05:00,On Time,,No
711c08ba-eb61-44ba-821a,2024-01-01,09:30:09,Station,Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-02,08:00:00,09:50:00,10:08:00,Delayed,Weather,No
ad0028c4-0e4b-4863-a60b,2024-01-01,10:17:33,Online,Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-01,11:45:00,13:35:00,13:35:00,On Time,,No
1d704d30-6e8b-47f4-9dc4,2024-01-01,11:55:41,Station,Contactless,Senior,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,13:15:00,13:45:00,13:45:00,On Time,,No
e46c007e-fe74-467f-b274,2024-01-01,12:54:54,Online,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-01,14:15:00,15:35:00,15:35:00,On Time,,No
1348ec1b-30cf-4135-acca,2024-01-01,14:02:52,Station,Contactless,None,Standard,Off-Peak,19,London Paddington,Reading,2024-01-01,15:30:00,16:30:00,16:30:00,On Time,,No
060f4ea5-625c-46b5-9ed3,2024-01-01,14:30:03,Station,Contactless,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,16:00:00,16:30:00,16:30:00,On Time,,No
782e098c-c36d-4696-9e8e,2024-01-01,14:42:17,Station,Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-01,16:00:00,17:20:00,17:20:00,On Time,,No
9082a416-480e-4ca4-bf9d,2024-01-01,15:39:11,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-01,17:00:00,19:15:00,19:15:00,On Time,,No
dffb36dc-c44b-4ad8-9f89,2024-01-01,15:45:47,Online,Contactless,None,First Class,Anytime,20,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,17:15:00,17:45:00,17:45:00,On Time,,No
fc64bf09-5c48-434b-b4e3,2024-01-01,16:03:03,Station,Credit Card,None,First Class,Anytime,19,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,17:45:00,18:15:00,18:15:00,On Time,,No
3ef7b8e5-cce4-478e-af39,2024-01-01,16:41:05,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-02,15:00:00,16:20:00,16:20:00,On Time,,No
fdb5ad84-613f-4dc5-9665,2024-01-01,17:02:28,Online,Credit Card,Adult,Standard,Anytime,4,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,18:30:00,19:00:00,19:00:00,On Time,,No
5be3ae51-fe04-424d-b788,2024-01-01,17:11:31,Online,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2024-01-02,15:30:00,16:50:00,16:50:00,On Time,,No
757917d1-c865-4ed6-8e20,2024-01-01,17:17:53,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-01-01,18:45:00,20:05:00,20:05:00,On Time,,No
a88f097f-bda3-4394-9c7d,2024-01-01,17:43:02,Station,Debit Card,Disabled,First Class,Advance,35,London Euston,Birmingham New Street,2024-01-02,16:00:00,17:20:00,,Cancelled,Technical Issue,No
972bd9ae-3643-41ee-941c,2024-01-01,18:39:18,Online,Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-01-02,17:00:00,18:20:00,18:20:00,On Time,,No
96a1e6fc-de4a-4bfc-908c,2024-01-01,19:32:26,Station,Debit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-02,17:45:00,19:05:00,19:05:00,On Time,,No
0af810d4-5b61-44c9-bbdf,2024-01-01,19:33:56,Station,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2024-01-02,18:00:00,19:20:00,19:20:00,On Time,,No
7837fefa-5e1c-4a24-a6ac,2024-01-01,20:22:05,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-02,18:45:00,20:05:00,20:05:00,On Time,,No
e98a19e1-88ba-4701-b2f4,2024-01-01,20:24:38,Station,Contactless,None,First Class,Advance,57,London Kings Cross,York,2024-01-02,17:45:00,19:35:00,19:35:00,On Time,,No
0abbbeb2-364d-4e15-8c07,2024-01-01,20:54:46,Station,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,19:15:00,19:45:00,19:45:00,On Time,,No
7871fd56-e537-4828-aee9,2024-01-01,21:46:29,Station,Credit Card,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,20:15:00,20:45:00,20:45:00,On Time,,No
860de888-c861-4ff2-a531,2024-01-01,21:52:50,Station,Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,20:15:00,20:45:00,20:45:00,On Time,,No
4d9a02fd-a230-4a46-be11,2024-01-01,22:44:51,Online,Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,00:00:00,00:30:00,00:30:00,On Time,,No
454bbd30-83d7-403f-ad59,2024-01-01,23:06:07,Station,Credit Card,None,First Class,Advance,54,London St Pancras,Birmingham New Street,2024-01-02,00:30:00,01:50:00,01:50:00,On Time,,No
f38532b2-cfb6-478c-ae1c,2024-01-02,00:14:32,Station,Credit Card,Adult,Standard,Off-Peak,17,Oxford,Bristol Temple Meads,2024-01-02,22:30:00,23:45:00,23:45:00,On Time,,No
30633df2-dd57-4473-84ba,2024-01-02,00:24:08,Online,Contactless,None,Standard,Off-Peak,11,York,Durham,2024-01-02,01:45:00,02:35:00,02:35:00,On Time,,No
86b1f064-06a4-4152-9b81,2024-01-02,00:26:21,Station,Credit Card,Adult,Standard,Off-Peak,84,Manchester Piccadilly,London Euston,2024-01-02,01:45:00,03:35:00,03:35:00,On Time,,No
5ec99341-0955-41dc-92b2,2024-01-02,00:27:40,Online,Contactless,None,Standard,Off-Peak,11,York,Durham,2024-01-02,01:45:00,02:35:00,02:35:00,On Time,,No
148cc904-8fa9-4e28-ac1e,2024-01-02,00:37:20,Online,Credit Card,None,First Class,Off-Peak,41,London Paddington,Reading,2024-01-02,02:00:00,03:00:00,03:00:00,On Time,,No
8a66ead7-e381-4311-b667,2024-01-02,00:54:33,Online,Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-02,02:15:00,03:35:00,,Cancelled,Technical Issue,Yes
97c7b22b-ff75-43b0-b296,2024-01-02,01:01:01,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,23:30:00,00:00:00,00:00:00,On Time,,No
b63a3586-29cc-43ea-905d,2024-01-02,01:11:57,Online,Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,02:30:00,03:00:00,03:00:00,On Time,,No
935dd774-378e-49a1-87cf,2024-01-02,01:17:27,Online,Contactless,Disabled,Standard,Advance,23,London Kings Cross,York,2024-01-03,23:45:00,01:35:00,01:35:00,On Time,,No
f3a6143f-0d4e-40df-83b0,2024-01-02,01:19:18,Online,Contactless,Disabled,Standard,Advance,5,York,Durham,2024-01-03,23:45:00,00:35:00,00:35:00,On Time,,No
bb416517-39a2-4db5-b9be,2024-01-02,01:22:25,Online,Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,02:45:00,03:15:00,03:15:00,On Time,,No
5579a244-2516-4511-8b57,2024-01-02,01:26:15,Online,Contactless,Disabled,Standard,Advance,5,York,Durham,2024-01-03,23:45:00,00:35:00,00:35:00,On Time,,No
2a2eb6c9-689e-473d-9e6c,2024-01-02,01:40:08,Online,Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,00:00:00,00:30:00,00:30:00,On Time,,No
7703c1a2-5115-436c-9bc6,2024-01-02,01:51:12,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,00:15:00,00:45:00,00:45:00,On Time,,No
97e4266f-7f58-4a5f-9969,2024-01-02,01:52:53,Station,Credit Card,None,Standard,Off-Peak,19,London Paddington,Reading,2024-01-02,03:15:00,04:15:00,04:15:00,On Time,,No
c57dd321-4e2f-46c0-8cfb,2024-01-02,02:13:53,Station,Credit Card,None,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-02,03:30:00,05:20:00,05:31:00,Delayed,Weather Conditions,No
4ddb887e-c15d-48f2-96af,2024-01-02,03:03:36,Online,Contactless,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,01:30:00,02:00:00,02:00:00,On Time,,No
17027141-9b2d-42b1-a4c9,2024-01-02,03:05:40,Online,Contactless,Disabled,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-01-03,01:30:00,02:50:00,02:50:00,On Time,,No
21cb445d-719e-4b9b-8ed8,2024-01-02,03:12:53,Station,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-02,04:30:00,05:50:00,05:50:00,On Time,,No
7c7a86b0-266e-496e-b45d,2024-01-02,03:21:34,Online,Credit Card,None,Standard,Advance,86,Manchester Piccadilly,London Paddington,2024-01-03,01:45:00,04:00:00,04:00:00,On Time,,No
41a8d734-4dc8-45bd-8914,2024-01-02,03:26:31,Station,Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-01-03,01:45:00,03:35:00,03:35:00,On Time,,No
caa24b1d-c3e2-4ef5-9262,2024-01-02,03:27:03,Station,Credit Card,None,Standard,Advance,10,Liverpool Lime Street,Leeds,2024-01-03,01:45:00,03:15:00,03:15:00,On Time,,No
32ee6cef-e35f-4747-a031,2024-01-02,03:30:17,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,02:00:00,02:30:00,02:30:00,On Time,,No
c9ce6b19-30d8-4b5b-912b,2024-01-02,03:30:57,Online,Credit Card,Disabled,Standard,Advance,8,London Paddington,Reading,2024-01-03,02:00:00,03:00:00,03:00:00,On Time,,No
d8f26c88-4e2e-4cca-af4b,2024-01-02,03:32:43,Station,Credit Card,None,First Class,Advance,27,London Paddington,Reading,2024-01-03,02:00:00,03:00:00,03:00:00,On Time,,No
d618c56f-3512-484d-9876,2024-01-02,03:33:32,Station,Credit Card,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-01-02,05:00:00,06:20:00,,Cancelled,Staffing,Yes
d60a6bf7-1847-4ffd-83f3,2024-01-02,03:36:25,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-03,02:00:00,03:00:00,03:00:00,On Time,,No
c1d5ff1e-8ef7-4bbb-b289,2024-01-02,03:38:22,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-03,02:00:00,03:50:00,03:50:00,On Time,,No
44567a90-6660-4d0f-bc10,2024-01-02,03:48:41,Online,Contactless,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-02,05:15:00,06:35:00,06:35:00,On Time,,No
d4f17a6e-2e59-419d-8734,2024-01-02,04:24:17,Station,Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,05:45:00,06:15:00,06:15:00,On Time,,No
51106ced-bbbd-425b-a856,2024-01-02,04:26:10,Station,Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-01-02,05:45:00,07:05:00,07:05:00,On Time,,No
ce811130-f204-4243-8392,2024-01-02,04:31:39,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,03:00:00,03:30:00,03:30:00,On Time,,No
c160b270-46a7-414e-90f5,2024-01-02,04:37:26,Online,Contactless,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:00:00,06:30:00,06:30:00,On Time,,No
e5e8c888-b22e-4bf5-aaf6,2024-01-02,04:47:49,Online,Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,2024-01-02,06:15:00,08:05:00,08:35:00,Delayed,Technical Issue,No
671ede8a-bbb1-4b75-852a,2024-01-02,04:49:16,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-03,03:15:00,04:15:00,04:15:00,On Time,,No
326a3109-dbce-4572-af36,2024-01-02,04:49:26,Online,Debit Card,Senior,Standard,Anytime,17,London Paddington,Reading,2024-01-02,06:15:00,07:15:00,07:15:00,On Time,,No
961476a2-180f-4fb6-9777,2024-01-02,04:49:28,Online,Debit Card,Senior,Standard,Anytime,17,London Paddington,Reading,2024-01-02,06:15:00,07:15:00,07:15:00,On Time,,No
e8ac00a5-dbb2-490f-afb5,2024-01-02,04:57:54,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:15:00,06:45:00,06:45:00,On Time,,No
dc236178-ccb3-4aa1-9cea,2024-01-02,04:58:57,Online,Debit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-02,06:15:00,08:05:00,08:35:00,Delayed,Technical Issue,No
b9732a42-f970-40d3-a1f7,2024-01-02,04:59:57,Online,Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:15:00,06:45:00,06:45:00,On Time,,No
6398950a-acca-4514-82aa,2024-01-02,05:04:08,Online,Credit Card,None,First Class,Anytime,14,Birmingham New Street,Stafford,2024-01-02,06:30:00,07:00:00,07:00:00,On Time,,No
6e779150-0479-440d-8389,2024-01-02,05:04:15,Online,Credit Card,None,Standard,Anytime,13,London Euston,Birmingham New Street,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
704ee1a5-aa39-49b6-b489,2024-01-02,05:05:21,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
45843d84-051f-4f20-8129,2024-01-02,05:06:12,Station,Credit Card,None,First Class,Anytime,107,London St Pancras,Birmingham New Street,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
a6ab593b-474f-41a5-bab9,2024-01-02,05:07:05,Station,Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-01-03,03:30:00,05:20:00,05:38:00,Delayed,Weather Conditions,No
892a0ecf-0a92-4468-80f7,2024-01-02,05:08:58,Station,Credit Card,Adult,Standard,Anytime,27,Birmingham New Street,London Euston,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
62d5c437-eae8-4cdd-9a9e,2024-01-02,05:10:12,Online,Credit Card,Disabled,Standard,Anytime,7,York,Doncaster,2024-01-02,06:30:00,07:00:00,07:00:00,On Time,,No
f59d227c-75ef-40d7-b3d0,2024-01-02,05:10:28,Online,Debit Card,None,Standard,Anytime,143,London Euston,Manchester Piccadilly,2024-01-02,06:30:00,08:20:00,08:20:00,On Time,,No
43f6e2cc-1e3c-4485-b3d5,2024-01-02,05:11:07,Online,Credit Card,Disabled,Standard,Anytime,43,London St Pancras,Wolverhampton,2024-01-02,06:30:00,08:00:00,08:00:00,On Time,,No
7cce43e2-e42c-4f96-bb39,2024-01-02,05:22:59,Station,Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:45:00,07:15:00,07:15:00,On Time,,No
